time=2025-06-12T16:44:23.241+05:30 level=INFO msg="Server starting on :8080"
time=2025-06-12T16:56:29.294+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55951
time=2025-06-12T16:56:29.309+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55952
time=2025-06-12T16:56:29.329+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55953
time=2025-06-12T16:56:29.347+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55954
time=2025-06-12T16:56:29.365+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55955
time=2025-06-12T16:56:29.381+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55956
time=2025-06-12T16:56:29.398+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55957
time=2025-06-12T16:56:29.413+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55958
time=2025-06-12T16:56:29.429+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55959
time=2025-06-12T16:56:29.445+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55960
time=2025-06-12T16:56:29.464+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55961
time=2025-06-12T16:56:29.479+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55962
time=2025-06-12T16:56:29.497+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55963
time=2025-06-12T16:56:29.516+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55964
time=2025-06-12T16:56:29.533+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55965
time=2025-06-12T16:56:29.551+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55966
time=2025-06-12T16:56:29.568+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55967
time=2025-06-12T16:56:29.585+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55968
time=2025-06-12T16:56:29.602+05:30 level=INFO msg="received request" method=GET path=/calculate ip=[::1]:55969
